alpha\evaluation,acc,precision,recall,F-Measure,MCC
drop0,0.7635327635327636,0.8055555555555556,0.8093023255813954,0.8074245939675174,0.501164853785972
drop1,0.7635327635327636,0.7894736842105263,0.8372093023255814,0.8126410835214448,0.4944866714621314
drop2,0.7673314339981007,0.7949852507374632,0.8356589147286821,0.8148148148148148,0.5035709306450478
drop3,0.7670940170940171,0.7931793179317932,0.8383720930232558,0.8151498021481062,0.5024821139297139
drop4,0.7635327635327636,0.7899824253075571,0.8362790697674418,0.8124717577948486,0.4946695577655914
drop5,0.7678062678062678,0.7942689199118296,0.837984496124031,0.8155413051678613,0.5042012162526762
drop6,0.7684167684167684,0.7954545454545454,0.8372093023255814,0.815797992877954,0.5057635866161484
drop7,0.7695868945868946,0.7965726920950802,0.8377906976744186,0.8166619438934543,0.5083470464126422
drop8,0.769863880974992,0.796078431372549,0.8392764857881136,0.8171069182389937,0.5086931272056078
drop9,0.7700854700854701,0.796730004418913,0.8386046511627907,0.8171312032630863,0.5093354282298602
drop10,0.7692307692307693,0.7971774193548387,0.8359408033826639,0.8160990712074303,0.5078991368278613
drop11,0.7694681861348528,0.7967539653264478,0.8372093023255814,0.8164808164808165,0.5081895609514246
drop12,0.7698882314266929,0.7964661909616038,0.8386404293381038,0.81700941094458,0.5088736845435736
drop13,0.7702482702482703,0.7967813190280846,0.8388704318936877,0.817284350218482,0.5096584305093377
drop14,0.7703703703703704,0.7968197879858657,0.8390697674418605,0.8173991844132306,0.5099007681426627
drop15,0.7711894586894587,0.7977341807129041,0.8392441860465116,0.8179628842612268,0.511754082770395
drop16,0.771074241662477,0.7981245115915603,0.8383036935704514,0.8177208433413397,0.5116743800449677
drop17,0.7714466603355492,0.798034398034398,0.8392764857881136,0.8181360201511334,0.5123403422164218
